,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
867,8.0,data8,Protective measures,E07000011,Huntingdonshire,105.1558,106.2449,107.2565,107.1187,108.5608,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
881,8.0,data8,Protective measures,E07000012,South Cambridgeshire,110.2127,110.5326,111.511,109.8698,109.6521,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
895,8.0,data8,Protective measures,E07000026,Allerdale,112.9632,112.4133,115.1339,110.6821,111.2883,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
909,8.0,data8,Protective measures,E07000027,Barrow-in-Furness,107.3259,105.3964,105.614,105.16,106.9324,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
923,8.0,data8,Protective measures,E07000028,Carlisle,106.2502,105.7284,108.8341,105.0616,104.9623,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
937,8.0,data8,Protective measures,E07000029,Copeland,114.3848,110.143,117.2497,111.7458,113.6563,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
951,8.0,data8,Protective measures,E07000030,Eden,117.1978,116.1414,121.386,116.9023,118.7844,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
965,8.0,data8,Protective measures,E07000031,South Lakeland,109.6874,108.5955,111.0162,109.9865,109.1326,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
979,8.0,data8,Protective measures,E07000032,Amber Valley,112.3278,113.7063,114.2249,111.6881,110.5636,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
993,8.0,data8,Protective measures,E07000033,Bolsover,106.1407,107.7849,107.3755,106.0856,106.8344,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1007,8.0,data8,Protective measures,E07000034,Chesterfield,105.4406,107.5285,107.33,105.7459,107.3064,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1021,8.0,data8,Protective measures,E07000035,Derbyshire Dales,115.6371,118.395,117.431,111.4208,112.9069,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1035,8.0,data8,Protective measures,E07000036,Erewash,107.7999,110.2932,109.1899,108.3311,107.5244,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1049,8.0,data8,Protective measures,E07000037,High Peak,110.5326,113.7958,111.6743,109.0823,111.0668,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1063,8.0,data8,Protective measures,E07000038,North East Derbyshire,111.683,113.1955,111.7923,110.7138,111.5811,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1077,8.0,data8,Protective measures,E07000039,South Derbyshire,106.8154,108.2574,108.8864,107.9341,108.6791,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
1091,8.0,data8,Protective measures,E07000040,East Devon,107.7592,109.4933,110.6482,110.0444,112.9344,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1105,8.0,data8,Protective measures,E07000041,Exeter,96.96515,96.76281,97.92821,99.04999,100.8815,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1119,8.0,data8,Protective measures,E07000042,Mid Devon,109.7683,108.2113,110.1621,111.7356,111.4497,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1133,8.0,data8,Protective measures,E07000043,North Devon,103.6023,105.1548,105.0885,105.0878,105.3744,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1147,8.0,data8,Protective measures,E07000044,South Hams,107.5539,108.0396,106.7838,106.3898,108.1251,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1161,8.0,data8,Protective measures,E07000045,Teignbridge,109.5138,109.2449,109.1403,110.8718,112.085,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1175,8.0,data8,Protective measures,E07000046,Torridge,109.4408,109.7526,110.4059,109.61,107.8639,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1189,8.0,data8,Protective measures,E07000047,West Devon,109.9403,108.3852,107.7248,108.0923,112.1615,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1203,8.0,data8,Protective measures,E07000061,Eastbourne,97.25448,99.93589,99.09895,97.94514,97.13206,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1217,8.0,data8,Protective measures,E07000062,Hastings,94.35324,95.71724,95.07523,93.7826,94.58135,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1231,8.0,data8,Protective measures,E07000063,Lewes,103.1058,105.4624,103.8022,102.4051,103.5282,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1245,8.0,data8,Protective measures,E07000064,Rother,104.4108,107.2942,106.1589,102.439,105.4533,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1259,8.0,data8,Protective measures,E07000065,Wealden,106.622,109.0918,109.8213,107.3627,105.3521,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1273,8.0,data8,Protective measures,E07000066,Basildon,101.687,100.9342,99.84512,99.05428,99.98486,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1287,8.0,data8,Protective measures,E07000067,Braintree,105.6275,109.8423,106.5844,105.7845,107.1826,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1301,8.0,data8,Protective measures,E07000068,Brentwood,106.0089,106.0439,102.4882,102.9916,104.058,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1315,8.0,data8,Protective measures,E07000069,Castle Point,107.3788,109.1341,105.9053,104.7012,106.5431,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1329,8.0,data8,Protective measures,E07000070,Chelmsford,104.5708,107.1295,104.147,102.7014,106.2936,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1343,8.0,data8,Protective measures,E07000071,Colchester,103.2643,103.1969,102.3359,100.6485,103.3364,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1357,8.0,data8,Protective measures,E07000072,Epping Forest,99.809,103.3145,100.521,100.132,100.6875,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1371,8.0,data8,Protective measures,E07000073,Harlow,94.77983,98.83956,95.14033,95.48327,95.18179,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1385,8.0,data8,Protective measures,E07000074,Maldon,110.1957,111.804,112.3713,106.1295,109.6951,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1399,8.0,data8,Protective measures,E07000075,Rochford,111.0031,112.1877,111.0867,109.8649,112.1021,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1413,8.0,data8,Protective measures,E07000076,Tendring,105.7762,105.7423,103.2845,103.722,103.8552,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1427,8.0,data8,Protective measures,E07000077,Uttlesford,107.33,110.2465,108.3125,107.341,109.9037,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
