,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
1492,1.0,data1,Mental health,E07000082,Stroud,98.38071,100.5309,101.9046,98.25953,100.1239,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1506,1.0,data1,Mental health,E07000083,Tewkesbury,103.0177,113.3255,110.4347,107.0826,104.8742,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1520,1.0,data1,Mental health,E07000084,Basingstoke and Deane,101.8565,103.0927,103.9582,102.6362,103.7172,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1534,1.0,data1,Mental health,E07000085,East Hampshire,104.6841,105.4676,107.8972,104.1647,100.7857,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1548,1.0,data1,Mental health,E07000086,Eastleigh,111.2071,108.1454,107.129,98.93967,99.07983,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1562,1.0,data1,Mental health,E07000087,Fareham,104.2561,109.1786,104.3184,102.11,100.235,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1576,1.0,data1,Mental health,E07000088,Gosport,95.71484,96.97697,94.08414,93.03159,91.59416,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1590,1.0,data1,Mental health,E07000089,Hart,108.9691,106.1865,110.3533,111.1072,112.5206,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1604,1.0,data1,Mental health,E07000090,Havant,93.73653,96.01672,96.21815,91.45538,91.14444,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1618,1.0,data1,Mental health,E07000091,New Forest,100.1166,102.1384,104.2163,103.1373,97.87012,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1632,1.0,data1,Mental health,E07000092,Rushmoor,97.71683,97.70283,98.37298,95.94168,98.36582,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1646,1.0,data1,Mental health,E07000093,Test Valley,101.3574,102.1794,99.78413,104.9565,102.3695,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1660,1.0,data1,Mental health,E07000094,Winchester,106.647,107.0003,108.3906,102.2258,99.79044,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1674,1.0,data1,Mental health,E07000095,Broxbourne,110.1501,110.6522,110.6245,105.1708,105.2736,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1688,1.0,data1,Mental health,E07000096,Dacorum,109.2548,108.0115,107.682,106.2213,102.206,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1702,1.0,data1,Mental health,E07000098,Hertsmere,110.2746,108.2455,105.4178,104.3275,98.9693,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1716,1.0,data1,Mental health,E07000099,North Hertfordshire,108.8631,107.5038,106.3495,103.4611,103.5762,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1730,1.0,data1,Mental health,E07000102,Three Rivers,117.9226,114.4126,113.6446,110.2173,110.7378,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1744,1.0,data1,Mental health,E07000103,Watford,113.3405,111.7334,109.5393,107.6623,107.4659,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1758,1.0,data1,Mental health,E07000105,Ashford,102.4934,103.4246,108.0706,105.1446,100.5684,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1772,1.0,data1,Mental health,E07000106,Canterbury,94.11037,96.11711,99.79011,96.30886,90.64688,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1786,1.0,data1,Mental health,E07000107,Dartford,97.85222,101.7154,103.19,100.9806,101.6206,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1800,1.0,data1,Mental health,E07000108,Dover,100.9631,98.86236,103.5707,100.9332,91.10815,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1814,1.0,data1,Mental health,E07000109,Gravesham,98.21023,101.2122,103.8863,102.011,98.62316,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1828,1.0,data1,Mental health,E07000110,Maidstone,97.65857,100.3877,101.7652,100.4604,95.48331,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1842,1.0,data1,Mental health,E07000111,Sevenoaks,107.3333,108.0872,110.1439,108.0786,106.782,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1856,1.0,data1,Mental health,E07000112,Folkestone and Hythe,92.92264,97.80402,98.83421,99.00832,92.43122,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1870,1.0,data1,Mental health,E07000113,Swale,93.04761,99.05796,98.77496,100.0846,99.51068,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1884,1.0,data1,Mental health,E07000114,Thanet,92.75859,92.8595,94.27246,93.41906,87.03428,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1898,1.0,data1,Mental health,E07000115,Tonbridge and Malling,101.8709,103.3149,102.3602,103.5316,104.4755,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1912,1.0,data1,Mental health,E07000116,Tunbridge Wells,100.6197,97.58178,101.7815,97.11626,101.0088,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1926,1.0,data1,Mental health,E07000117,Burnley,95.64652,103.3401,100.1394,96.98648,94.69261,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1940,1.0,data1,Mental health,E07000118,Chorley,107.0207,104.4471,100.5181,95.88175,95.45767,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1954,1.0,data1,Mental health,E07000119,Fylde,100.905,101.7516,105.2119,109.36,106.1465,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1968,1.0,data1,Mental health,E07000120,Hyndburn,93.882,95.4701,96.65163,100.0793,100.6557,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1982,1.0,data1,Mental health,E07000121,Lancaster,95.11673,97.31192,97.70164,96.45258,94.03521,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1996,1.0,data1,Mental health,E07000122,Pendle,99.82929,106.5118,104.7868,100.2456,100.9339,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2010,1.0,data1,Mental health,E07000123,Preston,96.45164,98.62126,101.7133,97.70757,95.97583,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2024,1.0,data1,Mental health,E07000124,Ribble Valley,108.5711,110.3112,108.7603,110.9845,115.1245,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2038,1.0,data1,Mental health,E07000125,Rossendale,103.262,105.644,104.8017,101.8198,96.48157,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2052,1.0,data1,Mental health,E07000126,South Ribble,101.8729,102.8793,104.5313,102.079,103.1904,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2066,1.0,data1,Mental health,E07000127,West Lancashire,104.3413,106.0826,102.2381,95.3671,90.64901,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2080,1.0,data1,Mental health,E07000128,Wyre,98.31157,96.31609,100.6609,97.44746,95.46898,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2094,1.0,data1,Mental health,E07000129,Blaby,108.2896,107.6507,108.4288,104.0384,103.5829,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2108,1.0,data1,Mental health,E07000130,Charnwood,108.4681,108.0574,111.2796,109.7677,109.7228,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2122,1.0,data1,Mental health,E07000131,Harborough,111.5871,108.3199,107.0263,105.7564,105.119,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2136,1.0,data1,Mental health,E07000132,Hinckley and Bosworth,109.3129,108.5149,116.5502,110.9409,109.358,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2150,1.0,data1,Mental health,E07000133,Melton,111.6638,110.5866,110.5062,110.4046,116.6836,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2164,1.0,data1,Mental health,E07000134,North West Leicestershire,106.5351,103.6343,106.5563,110.5609,108.6439,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2178,1.0,data1,Mental health,E07000135,Oadby and Wigston,107.9999,106.7003,110.0538,109.0614,110.4637,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2192,1.0,data1,Mental health,E07000136,Boston,97.85326,104.3116,107.7013,109.5338,110.667,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2206,1.0,data1,Mental health,E07000137,East Lindsey,96.0975,96.49551,96.49108,94.60393,93.88166,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2220,1.0,data1,Mental health,E07000138,Lincoln,88.79598,89.96897,93.02933,88.05051,85.97112,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2234,1.0,data1,Mental health,E07000139,North Kesteven,108.0565,110.9183,111.8731,111.5091,108.6572,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2248,1.0,data1,Mental health,E07000140,South Holland,107.9823,110.977,107.3348,106.7205,102.1121,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2262,1.0,data1,Mental health,E07000141,South Kesteven,107.7581,108.2361,108.1187,103.4783,102.1741,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2276,1.0,data1,Mental health,E07000142,West Lindsey,103.5494,104.6934,106.5551,102.5545,102.1359,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
