,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
1269,2.0,data2,Mortality,E07000066,Basildon,103.2008,103.6374,102.4729,101.2469,101.5699,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1283,2.0,data2,Mortality,E07000067,Braintree,106.3767,105.6802,104.0325,104.5463,104.6004,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1297,2.0,data2,Mortality,E07000068,Brentwood,108.4627,111.3185,113.3428,114.9198,112.4636,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1311,2.0,data2,Mortality,E07000069,Castle Point,100.4277,101.1068,105.2985,105.9256,109.0191,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1325,2.0,data2,Mortality,E07000070,Chelmsford,111.1358,110.6253,109.7912,110.4826,112.1484,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1339,2.0,data2,Mortality,E07000071,Colchester,103.3139,102.2309,103.1153,104.131,106.5261,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1353,2.0,data2,Mortality,E07000072,Epping Forest,107.9197,108.7367,112.5404,110.8089,109.5529,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1367,2.0,data2,Mortality,E07000073,Harlow,97.77929,97.07234,98.20275,97.77712,99.98912,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1381,2.0,data2,Mortality,E07000074,Maldon,108.0211,105.9402,104.9758,106.1119,105.0348,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1395,2.0,data2,Mortality,E07000075,Rochford,107.1296,111.6198,111.8032,112.0136,111.0519,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1409,2.0,data2,Mortality,E07000076,Tendring,91.6626,91.64663,89.32887,90.9994,93.01234,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1423,2.0,data2,Mortality,E07000077,Uttlesford,112.2614,109.5858,112.784,115.1543,118.7735,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1437,2.0,data2,Mortality,E07000078,Cheltenham,104.6894,103.181,103.6216,105.4489,107.5355,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1451,2.0,data2,Mortality,E07000079,Cotswold,114.0487,115.1225,113.8488,116.4657,117.1679,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1465,2.0,data2,Mortality,E07000080,Forest of Dean,107.3705,109.4668,108.4948,107.9959,109.7347,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1479,2.0,data2,Mortality,E07000081,Gloucester,94.05267,92.43314,93.05378,93.80254,95.38459,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1493,2.0,data2,Mortality,E07000082,Stroud,105.9302,105.4354,107.4037,104.5956,107.5967,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1507,2.0,data2,Mortality,E07000083,Tewkesbury,110.4522,111.5905,111.0861,109.1817,111.0668,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1521,2.0,data2,Mortality,E07000084,Basingstoke and Deane,104.2738,104.9072,104.5729,103.3326,104.9253,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1535,2.0,data2,Mortality,E07000085,East Hampshire,110.5761,110.321,111.9228,109.3634,109.8217,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1549,2.0,data2,Mortality,E07000086,Eastleigh,113.7496,114.2195,113.6619,112.2508,109.8061,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
